Bairro;Data;Acidentes de Trânsito
Santa Marina;01.01.2021;0
Tupiry;01.01.2021;1
Antártica;01.01.2021;2
Vila Sônia;01.01.2021;4
Glória;01.01.2021;1
Sítio do Campo;01.01.2021;2
Xixová;01.01.2021;2
Serra do Mar;01.01.2021;0
Não Informado;01.01.2021;1
Militar;01.02.2013;0
Canto do Forte;01.02.2013;2
Boqueirão;01.02.2013;24
Guilhermina;01.02.2013;14
Aviação;01.02.2013;6
Tupi;01.02.2013;2
Ocian;01.02.2013;6
Mirim;01.02.2013;5
Maracanã;01.02.2013;0
Caiçara;01.02.2013;0
Real ;01.02.2013;1
Flórida;01.02.2013;0
Solemar;01.02.2013;0
Cidade da Criança;01.02.2013;0
Princesa;01.02.2013;0
Imperador;01.02.2013;0
Melvi;01.02.2013;1
Samambaia;01.02.2013;0
Esmeralda;01.02.2013;0
Ribeirópolis;01.02.2013;0
Andaraguá;01.02.2013;0
Nova Mirim;01.02.2013;0
Anhanguera;01.02.2013;3
Quietude;01.02.2013;3
Santa Marina;01.02.2013;0
Tupiry;01.02.2013;2
Antártica;01.02.2013;1
Vila Sônia;01.02.2013;1
Glória;01.02.2013;4
Sítio do Campo;01.02.2013;7
Xixová;01.02.2013;6
Serra do Mar;01.02.2013;0
Não Informado;01.02.2013;0
Militar;01.02.2014;0
Canto do Forte;01.02.2014;9
Boqueirão;01.02.2014;28
Guilhermina;01.02.2014;17
Aviação;01.02.2014;8
Tupi;01.02.2014;14
Ocian;01.02.2014;3
Mirim;01.02.2014;6
Maracanã;01.02.2014;0
Caiçara;01.02.2014;1
Real ;01.02.2014;0
Flórida;01.02.2014;0
Solemar;01.02.2014;0
Cidade da Criança;01.02.2014;0
Princesa;01.02.2014;0
Imperador;01.02.2014;0
Melvi;01.02.2014;1
Samambaia;01.02.2014;0
Esmeralda;01.02.2014;0
Ribeirópolis;01.02.2014;0
Andaraguá;01.02.2014;0
Nova Mirim;01.02.2014;5
Anhanguera;01.02.2014;1
Quietude;01.02.2014;2
Santa Marina;01.02.2014;0
Tupiry;01.02.2014;2
Antártica;01.02.2014;4
Vila Sônia;01.02.2014;7
Glória;01.02.2014;5
Sítio do Campo;01.02.2014;11
Xixová;01.02.2014;12
Serra do Mar;01.02.2014;0
Não Informado;01.02.2014;0
Militar;01.02.2015;0
Canto do Forte;01.02.2015;7
Boqueirão;01.02.2015;22
Guilhermina;01.02.2015;23
Aviação;01.02.2015;6
Tupi;01.02.2015;13
Ocian;01.02.2015;18
Mirim;01.02.2015;13
Maracanã;01.02.2015;1
Caiçara;01.02.2015;4
Real ;01.02.2015;2
Flórida;01.02.2015;0
Solemar;01.02.2015;1
Cidade da Criança;01.02.2015;1
Princesa;01.02.2015;0
Imperador;01.02.2015;0
Melvi;01.02.2015;0
Samambaia;01.02.2015;5
Esmeralda;01.02.2015;7
Ribeirópolis;01.02.2015;3
Andaraguá;01.02.2015;0
Nova Mirim;01.02.2015;3
Anhanguera;01.02.2015;3
Quietude;01.02.2015;7
Santa Marina;01.02.2015;0
Tupiry;01.02.2015;2
Antártica;01.02.2015;11
Vila Sônia;01.02.2015;6
Glória;01.02.2015;1
Sítio do Campo;01.02.2015;6
Xixová;01.02.2015;7
Serra do Mar;01.02.2015;0
Não Informado;01.02.2015;0
Militar;01.02.2016;0
Canto do Forte;01.02.2016;8
Boqueirão;01.02.2016;25
Guilhermina;01.02.2016;12
Aviação;01.02.2016;9
Tupi;01.02.2016;12
Ocian;01.02.2016;12
Mirim;01.02.2016;21
Maracanã;01.02.2016;3
Caiçara;01.02.2016;8
Real ;01.02.2016;3
Flórida;01.02.2016;1
Solemar;01.02.2016;0
Cidade da Criança;01.02.2016;2
Princesa;01.02.2016;1
Imperador;01.02.2016;1
Melvi;01.02.2016;4
Samambaia;01.02.2016;3
Esmeralda;01.02.2016;5
Ribeirópolis;01.02.2016;2
Andaraguá;01.02.2016;0
Nova Mirim;01.02.2016;6
Anhanguera;01.02.2016;3
Quietude;01.02.2016;9
Santa Marina;01.02.2016;0
Tupiry;01.02.2016;3
Antártica;01.02.2016;6
Vila Sônia;01.02.2016;4
Glória;01.02.2016;5
Sítio do Campo;01.02.2016;8
Xixová;01.02.2016;18
Serra do Mar;01.02.2016;0
Não Informado;01.02.2016;0
Militar;01.02.2017;0
Canto do Forte;01.02.2017;14
Boqueirão;01.02.2017;22
Guilhermina;01.02.2017;12
Aviação;01.02.2017;6
Tupi;01.02.2017;12
Ocian;01.02.2017;12
Mirim;01.02.2017;12
Maracanã;01.02.2017;2
Caiçara;01.02.2017;4
Real ;01.02.2017;1
Flórida;01.02.2017;2
Solemar;01.02.2017;1
Cidade da Criança;01.02.2017;0
Princesa;01.02.2017;6
Imperador;01.02.2017;0
Melvi;01.02.2017;3
Samambaia;01.02.2017;1
Esmeralda;01.02.2017;2
Ribeirópolis;01.02.2017;3
Andaraguá;01.02.2017;0
Nova Mirim;01.02.2017;4
Anhanguera;01.02.2017;0
Quietude;01.02.2017;3
Santa Marina;01.02.2017;0
Tupiry;01.02.2017;3
Antártica;01.02.2017;5
Vila Sônia;01.02.2017;3
Glória;01.02.2017;4
Sítio do Campo;01.02.2017;9
Xixová;01.02.2017;5
Serra do Mar;01.02.2017;0
Não Informado;01.02.2017;0
Militar;01.02.2018;0
Canto do Forte;01.02.2018;3
Boqueirão;01.02.2018;20
Guilhermina;01.02.2018;12
Aviação;01.02.2018;9
Tupi;01.02.2018;9
Ocian;01.02.2018;6
Mirim;01.02.2018;10
Maracanã;01.02.2018;1
Caiçara;01.02.2018;7
Real ;01.02.2018;4
Flórida;01.02.2018;2
Solemar;01.02.2018;1
Cidade da Criança;01.02.2018;0
Princesa;01.02.2018;4
Imperador;01.02.2018;0
Melvi;01.02.2018;3
Samambaia;01.02.2018;8
Esmeralda;01.02.2018;2
Ribeirópolis;01.02.2018;1
Andaraguá;01.02.2018;0
Nova Mirim;01.02.2018;5
Anhanguera;01.02.2018;3
Quietude;01.02.2018;3
Santa Marina;01.02.2018;0
Tupiry;01.02.2018;1
Antártica;01.02.2018;5
Vila Sônia;01.02.2018;3
Glória;01.02.2018;2
Sítio do Campo;01.02.2018;13
Xixová;01.02.2018;3
Serra do Mar;01.02.2018;0
Não Informado;01.02.2018;0
Militar;01.02.2019;0
Canto do Forte;01.02.2019;4
Boqueirão;01.02.2019;7
Guilhermina;01.02.2019;12
Aviação;01.02.2019;10
Tupi;01.02.2019;8
Ocian;01.02.2019;8
Mirim;01.02.2019;7
Maracanã;01.02.2019;2
Caiçara;01.02.2019;4
Real ;01.02.2019;1
Flórida;01.02.2019;0
Solemar;01.02.2019;0
Cidade da Criança;01.02.2019;0
Princesa;01.02.2019;0
Imperador;01.02.2019;0
Melvi;01.02.2019;5
Samambaia;01.02.2019;6
Esmeralda;01.02.2019;4
Ribeirópolis;01.02.2019;1
Andaraguá;01.02.2019;0
Nova Mirim;01.02.2019;3
Anhanguera;01.02.2019;3
Quietude;01.02.2019;4
Santa Marina;01.02.2019;0
Tupiry;01.02.2019;3
Antártica;01.02.2019;4
Vila Sônia;01.02.2019;1
Glória;01.02.2019;2
Sítio do Campo;01.02.2019;4
Xixová;01.02.2019;4
Serra do Mar;01.02.2019;0
Não Informado;01.02.2019;0
Militar;01.02.2020;0
Canto do Forte;01.02.2020;3
Boqueirão;01.02.2020;9
Guilhermina;01.02.2020;6
Aviação;01.02.2020;3
Tupi;01.02.2020;4
Ocian;01.02.2020;2
Mirim;01.02.2020;2
Maracanã;01.02.2020;2
Caiçara;01.02.2020;5
Real ;01.02.2020;0
Flórida;01.02.2020;1
Solemar;01.02.2020;2
Cidade da Criança;01.02.2020;0
Princesa;01.02.2020;0
Imperador;01.02.2020;0
Melvi;01.02.2020;0
Samambaia;01.02.2020;2
Esmeralda;01.02.2020;0
Ribeirópolis;01.02.2020;3
Andaraguá;01.02.2020;0
Nova Mirim;01.02.2020;1
Anhanguera;01.02.2020;2
Quietude;01.02.2020;1
Santa Marina;01.02.2020;0
Tupiry;01.02.2020;1
Antártica;01.02.2020;2
Vila Sônia;01.02.2020;3
Glória;01.02.2020;1
Sítio do Campo;01.02.2020;4
Xixová;01.02.2020;5
Serra do Mar;01.02.2020;0
Não Informado;01.02.2020;0
Militar;01.02.2021;0
Canto do Forte;01.02.2021;2
Boqueirão;01.02.2021;1
Guilhermina;01.02.2021;6
Aviação;01.02.2021;6
Tupi;01.02.2021;5
Ocian;01.02.2021;3
Mirim;01.02.2021;6
Maracanã;01.02.2021;4
Caiçara;01.02.2021;3
Real ;01.02.2021;3
Flórida;01.02.2021;0
Solemar;01.02.2021;2
Cidade da Criança;01.02.2021;1
Princesa;01.02.2021;1
Imperador;01.02.2021;0
Melvi;01.02.2021;2
Samambaia;01.02.2021;1
Esmeralda;01.02.2021;0
Ribeirópolis;01.02.2021;2
Andaraguá;01.02.2021;0
Nova Mirim;01.02.2021;2
Anhanguera;01.02.2021;0
Quietude;01.02.2021;2
Santa Marina;01.02.2021;0
Tupiry;01.02.2021;0
Antártica;01.02.2021;4
Vila Sônia;01.02.2021;3
Glória;01.02.2021;2
Sítio do Campo;01.02.2021;4
Xixová;01.02.2021;4
Serra do Mar;01.02.2021;0
Não Informado;01.02.2021;0
Militar;01.03.2013;0
Canto do Forte;01.03.2013;6
Boqueirão;01.03.2013;34
Guilhermina;01.03.2013;17
Aviação;01.03.2013;3
Tupi;01.03.2013;6
Ocian;01.03.2013;2
Mirim;01.03.2013;3
Maracanã;01.03.2013;0
Caiçara;01.03.2013;1
