Bairro;Ano;Acidentes de Trânsito Por Ano;
Flórida;2011;0;
Solemar;2011;1;
Cidade da Criança;2011;0;
Princesa;2011;0;
Imperador;2011;0;
Melvi;2011;2;
Samambaia;2011;7;
Esmeralda;2011;4;
Ribeirópolis;2011;8;
Andaraguá;2011;0;
Nova Mirim;2011;47;
Anhanguera;2011;50;
Quietude;2011;53;
Santa Marina;2011;0;
Tupiry;2011;28;
Antártica;2011;80;
Vila Sônia;2011;49;
Glória;2011;48;
Sítio do Campo;2011;324;
Xixová;2011;0;
Serra do Mar;2011;0;
Não identificado;2011;0;
Militar;2010;0;
Canto do Forte;2010;84;
Boqueirão;2010;318;
Guilhermina;2010;218;
Aviação;2010;114;
Tupi;2010;147;
Ocian;2010;178;
Mirim;2010;97;
Maracanã;2010;7;
Caiçara;2010;11;
Real;2010;0;
Flórida;2010;0;
Solemar;2010;0;
Cidade da Criança;2010;0;
Princesa;2010;0;
Imperador;2010;0;
Melvi;2010;3;
Samambaia;2010;4;
Esmeralda;2010;4;
Ribeirópolis;2010;6;
Andaraguá;2010;0;
Nova Mirim;2010;62;
Anhanguera;2010;53;
Quietude;2010;75;
Santa Marina;2010;0;
Tupiry;2010;35;
Antártica;2010;71;
Vila Sônia;2010;66;
Glória;2010;54;
Sítio do Campo;2010;442;
Xixová;2010;0;
Serra do Mar;2010;0;
Não identificado;2010;0;
